customer_id,recency,frequency,monetary,customer_name,region,city,age,gender,acquisition_channel,R_score,F_score,M_score,RFM_score,rfm_segment,cluster,cluster_segment
CUST0001,88,4,7136.6900000000005,Nisha Desai,South,Chennai,28,Male,Social Media,3,2,1,6,Potential Loyalists,0,At Risk
CUST0002,50,3,5443.12,Ramesh Kapoor,East,Patna,32,Female,Email Campaign,3,2,1,6,Potential Loyalists,0,At Risk
CUST0003,54,38,326648.38,Krishna Gupta,South,Bengaluru,36,Male,Organic Search,3,4,4,11,Champions,1,Champions
CUST0004,52,4,20676.21,Tara Menon,North,Chandigarh,24,Male,Organic Search,3,2,2,7,Potential Loyalists,2,Loyal Customers
CUST0005,277,1,7585.8,Ananya Nair,East,Bhubaneswar,45,Female,Organic Search,1,1,1,3,Lost / Dormant,0,At Risk
CUST0006,632,1,1043.56,Swati Iyer,North,Lucknow,60,Male,Social Media,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0007,10,20,284783.88,Karthik Verma,North,Jaipur,22,Female,Social Media,4,4,4,12,Champions,1,Champions
CUST0008,87,12,177094.39,Vikram Pillai,West,Mumbai,22,Female,Paid Ads,3,4,4,11,Champions,1,Champions
CUST0009,200,9,70395.38,Sanjay Rao,South,Hyderabad,47,Male,Paid Ads,2,3,3,8,Loyal Customers,2,Loyal Customers
CUST0010,44,16,223759.09999999998,Vivaan Sharma,East,Patna,49,Male,Organic Search,4,4,4,12,Champions,1,Champions
CUST0011,26,7,68941.7,Diya Pillai,North,Lucknow,25,Male,Email Campaign,4,3,3,10,Champions,2,Loyal Customers
CUST0012,3,7,24238.98,Anil Das,North,Delhi,27,Male,Paid Ads,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0013,651,1,5311.46,Manish Kumar,East,Bhubaneswar,55,Male,Paid Ads,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0014,55,7,30590.85,Naveen Bose,North,Chandigarh,64,Female,Social Media,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0015,136,9,248722.29,Meera Kapoor,West,Surat,49,Female,Email Campaign,2,3,4,9,Loyal Customers,1,Champions
CUST0016,121,3,9979.900000000001,Aditya Reddy,West,Pune,45,Male,Organic Search,2,2,1,5,At Risk,0,At Risk
CUST0017,51,15,225856.19999999998,Reyansh Patel,West,Mumbai,34,Female,Paid Ads,3,4,4,11,Champions,1,Champions
CUST0018,23,31,355434.09,Nisha Mukherjee,West,Surat,48,Female,Email Campaign,4,4,4,12,Champions,1,Champions
CUST0019,130,13,71292.98,Vihaan Malhotra,North,Lucknow,25,Female,Email Campaign,2,4,3,9,Loyal Customers,1,Champions
CUST0020,58,8,43485.17,Ishaan Verma,East,Bhubaneswar,57,Female,Organic Search,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0021,210,6,110929.94,Zara Kapoor,East,Bhubaneswar,42,Female,Email Campaign,2,3,4,9,Loyal Customers,2,Loyal Customers
CUST0022,301,2,7704.620000000001,Reyansh Pillai,East,Guwahati,26,Male,Email Campaign,1,1,1,3,Lost / Dormant,0,At Risk
CUST0024,150,6,19559.309999999998,Divya Malhotra,South,Kochi,32,Female,Paid Ads,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0025,98,10,87551.01000000001,Riya Nair,East,Guwahati,20,Male,Organic Search,3,3,3,9,Loyal Customers,1,Champions
CUST0026,120,3,139129.78,Swati Nair,South,Chennai,53,Female,Email Campaign,2,2,4,8,Loyal Customers,2,Loyal Customers
CUST0027,25,17,238854.45,Vivaan Rao,South,Kochi,21,Female,Email Campaign,4,4,4,12,Champions,1,Champions
CUST0028,627,1,393.48,Vihaan Mukherjee,West,Ahmedabad,31,Male,Paid Ads,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0029,387,4,24867.690000000002,Deepak Pillai,South,Bengaluru,58,Male,Organic Search,1,2,2,5,At Risk,3,Potential Loyalists
CUST0030,130,12,177638.52,Sneha Kumar,North,Chandigarh,58,Male,Social Media,2,4,4,10,Champions,1,Champions
CUST0031,12,4,100474.4,Kiran Malhotra,South,Bengaluru,42,Female,Paid Ads,4,2,3,9,Loyal Customers,2,Loyal Customers
CUST0032,506,1,4406.03,Neha Bose,West,Ahmedabad,27,Male,Organic Search,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0033,280,4,15814.54,Meera Singh,South,Hyderabad,38,Male,Email Campaign,1,2,1,4,At Risk,0,At Risk
CUST0034,236,5,28254.420000000002,Kavya Singh,North,Lucknow,53,Male,Organic Search,1,2,2,5,At Risk,2,Loyal Customers
CUST0035,159,8,37892.15,Rahul Bose,North,Lucknow,29,Male,Organic Search,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0036,126,10,86230.29000000001,Saanvi Kapoor,North,Lucknow,44,Male,Organic Search,2,3,3,8,Loyal Customers,1,Champions
CUST0037,322,5,25254.32,Vikram Chopra,West,Surat,57,Male,Social Media,1,2,2,5,At Risk,2,Loyal Customers
CUST0039,34,41,350352.13,Aarav Gupta,East,Bhubaneswar,30,Male,Social Media,4,4,4,12,Champions,1,Champions
CUST0040,324,1,2225.68,Ishaan Sharma,West,Ahmedabad,49,Male,Email Campaign,1,1,1,3,Lost / Dormant,0,At Risk
CUST0041,29,17,167457.46,Krishna Menon,North,Lucknow,48,Male,Social Media,4,4,4,12,Champions,1,Champions
CUST0042,222,4,59783.369999999995,Riya Singh,North,Chandigarh,33,Male,Email Campaign,2,2,3,7,Potential Loyalists,2,Loyal Customers
CUST0043,89,23,297228.83999999997,Divya Iyer,West,Ahmedabad,49,Female,Email Campaign,3,4,4,11,Champions,1,Champions
CUST0045,257,5,27274.93,Nisha Patel,West,Surat,51,Male,Paid Ads,1,2,2,5,At Risk,2,Loyal Customers
CUST0046,231,1,37374.29,Naveen Gupta,West,Surat,28,Female,Referral,2,1,2,5,At Risk,0,At Risk
CUST0047,675,1,10870.45,Ishaan Singh,North,Delhi,27,Male,Organic Search,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0048,307,6,70981.58,Diya Verma,East,Patna,32,Male,Referral,1,3,3,7,Potential Loyalists,2,Loyal Customers
CUST0050,91,10,114445.34,Suresh Reddy,East,Kolkata,57,Female,Organic Search,3,3,4,10,Champions,1,Champions
CUST0051,59,2,7252.79,Divya Pillai,North,Lucknow,35,Female,Email Campaign,3,1,1,5,At Risk,0,At Risk
CUST0052,232,3,28075.920000000002,Swati Iyer,West,Mumbai,26,Male,Organic Search,2,2,2,6,Potential Loyalists,0,At Risk
CUST0053,72,11,186886.06,Aarav Iyer,North,Delhi,42,Female,Organic Search,3,4,4,11,Champions,1,Champions
CUST0054,599,2,26709.34,Lakshmi Kapoor,North,Jaipur,57,Male,Social Media,1,1,2,4,At Risk,3,Potential Loyalists
CUST0055,8,7,24962.47,Kavya Iyer,North,Jaipur,31,Male,Referral,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0056,169,4,35670.94,Aarav Reddy,West,Mumbai,42,Female,Social Media,2,2,2,6,Potential Loyalists,2,Loyal Customers
CUST0057,108,11,80232.8,Deepak Malhotra,West,Surat,39,Male,Organic Search,3,4,3,10,Champions,1,Champions
CUST0058,250,1,2661.15,Nisha Patel,West,Mumbai,47,Female,Email Campaign,1,1,1,3,Lost / Dormant,0,At Risk
CUST0059,33,14,49069.7,Meera Kapoor,West,Pune,37,Female,Social Media,4,4,2,10,Champions,1,Champions
CUST0060,7,24,128717.94,Deepak Kumar,East,Guwahati,38,Male,Social Media,4,4,4,12,Champions,1,Champions
CUST0061,248,11,259778.19,Isha Joshi,East,Guwahati,61,Male,Paid Ads,1,4,4,9,Loyal Customers,1,Champions
CUST0062,189,12,125585.85999999999,Pooja Gupta,South,Kochi,49,Female,Organic Search,2,4,4,10,Champions,1,Champions
CUST0063,310,6,46945.2,Pooja Nair,West,Pune,63,Male,Email Campaign,1,3,2,6,Potential Loyalists,2,Loyal Customers
CUST0064,106,7,21825.55,Sanjay Reddy,East,Kolkata,38,Female,Social Media,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0065,216,4,31589.29,Suresh Gupta,North,Lucknow,52,Female,Social Media,2,2,2,6,Potential Loyalists,2,Loyal Customers
CUST0066,67,3,39975.39000000001,Meera Menon,West,Surat,49,Male,Email Campaign,3,2,2,7,Potential Loyalists,2,Loyal Customers
CUST0067,32,4,44194.48,Ramesh Nair,South,Chennai,47,Female,Organic Search,4,2,2,8,Loyal Customers,2,Loyal Customers
CUST0068,84,19,204298.80000000002,Isha Gupta,South,Bengaluru,56,Female,Paid Ads,3,4,4,11,Champions,1,Champions
CUST0069,235,3,126465.76999999999,Karthik Verma,South,Hyderabad,29,Male,Social Media,1,2,4,7,Potential Loyalists,2,Loyal Customers
CUST0070,95,14,72725.77,Sai Pillai,North,Jaipur,58,Female,Paid Ads,3,4,3,10,Champions,1,Champions
CUST0071,83,4,15375.43,Zara Menon,East,Patna,64,Male,Referral,3,2,1,6,Potential Loyalists,2,Loyal Customers
CUST0072,118,4,6368.02,Naveen Gupta,North,Chandigarh,35,Female,Organic Search,2,2,1,5,At Risk,0,At Risk
CUST0073,273,2,41842.100000000006,Shreya Sharma,West,Ahmedabad,38,Female,Referral,1,1,2,4,At Risk,0,At Risk
CUST0074,279,1,5231.45,Manish Desai,South,Chennai,30,Male,Referral,1,1,1,3,Lost / Dormant,0,At Risk
CUST0075,12,19,199091.73,Isha Patel,North,Jaipur,38,Male,Referral,4,4,4,12,Champions,1,Champions
CUST0076,18,16,176051.71,Aditya Gupta,North,Jaipur,25,Female,Organic Search,4,4,4,12,Champions,1,Champions
CUST0077,224,6,26243.989999999998,Sai Singh,East,Kolkata,63,Male,Organic Search,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0078,63,6,45779.47,Manish Patel,East,Kolkata,57,Female,Email Campaign,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0079,3,7,137179.17,Lakshmi Sharma,South,Chennai,63,Male,Paid Ads,4,3,4,11,Champions,1,Champions
CUST0080,42,8,50440.19,Vikram Kapoor,North,Lucknow,24,Female,Paid Ads,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0081,115,3,12587.23,Pooja Patel,North,Lucknow,40,Female,Email Campaign,2,2,1,5,At Risk,0,At Risk
CUST0082,257,1,3023.62,Diya Gupta,East,Guwahati,61,Female,Email Campaign,1,1,1,3,Lost / Dormant,0,At Risk
CUST0083,93,4,93025.57,Vivaan Iyer,North,Lucknow,49,Male,Referral,3,2,3,8,Loyal Customers,2,Loyal Customers
CUST0084,72,12,102206.25,Lakshmi Das,North,Chandigarh,28,Female,Email Campaign,3,4,3,10,Champions,1,Champions
CUST0085,126,29,229090.87,Riya Das,North,Jaipur,39,Female,Social Media,2,4,4,10,Champions,1,Champions
CUST0087,28,9,65753.12,Naveen Reddy,South,Chennai,60,Male,Email Campaign,4,3,3,10,Champions,1,Champions
CUST0088,269,1,5998.73,Pooja Sharma,West,Pune,42,Male,Social Media,1,1,1,3,Lost / Dormant,0,At Risk
CUST0089,78,6,66725.84,Aarav Joshi,South,Chennai,39,Female,Social Media,3,3,3,9,Loyal Customers,2,Loyal Customers
CUST0090,252,1,52165.51,Vivaan Pillai,West,Surat,45,Female,Social Media,1,1,3,5,At Risk,0,At Risk
CUST0091,76,3,114158.11,Deepak Rao,North,Delhi,46,Male,Social Media,3,2,4,9,Loyal Customers,2,Loyal Customers
CUST0092,107,4,66047.79000000001,Pooja Nair,South,Hyderabad,30,Female,Referral,3,2,3,8,Loyal Customers,2,Loyal Customers
CUST0093,196,1,3071.32,Ananya Das,West,Ahmedabad,35,Male,Social Media,2,1,1,4,At Risk,0,At Risk
CUST0094,57,8,85367.45999999999,Manisha Reddy,East,Guwahati,19,Male,Referral,3,3,3,9,Loyal Customers,2,Loyal Customers
CUST0095,11,9,55378.6,Sneha Rao,East,Kolkata,46,Female,Referral,4,3,3,10,Champions,1,Champions
CUST0096,40,8,65372.92,Karthik Menon,South,Kochi,38,Female,Social Media,4,3,3,10,Champions,2,Loyal Customers
CUST0097,29,17,103143.36,Priya Sharma,South,Chennai,32,Male,Paid Ads,4,4,3,11,Champions,1,Champions
CUST0098,348,5,100806.2,Ishaan Rao,North,Chandigarh,44,Male,Social Media,1,2,3,6,Potential Loyalists,2,Loyal Customers
CUST0099,116,3,13899.37,Priya Iyer,South,Hyderabad,48,Female,Social Media,2,2,1,5,At Risk,0,At Risk
CUST0100,77,6,40451.0,Zara Nair,North,Jaipur,32,Male,Social Media,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0101,407,1,18950.32,Tara Iyer,North,Chandigarh,40,Male,Paid Ads,1,1,2,4,At Risk,3,Potential Loyalists
CUST0102,527,3,14737.51,Tara Desai,East,Patna,41,Male,Organic Search,1,2,1,4,At Risk,3,Potential Loyalists
CUST0104,489,2,22771.739999999998,Shreya Singh,West,Surat,30,Female,Referral,1,1,2,4,At Risk,3,Potential Loyalists
CUST0105,27,10,99322.98000000001,Nisha Mukherjee,East,Patna,39,Male,Referral,4,3,3,10,Champions,1,Champions
CUST0106,21,3,35864.42,Swati Sharma,East,Kolkata,60,Female,Paid Ads,4,2,2,8,Loyal Customers,2,Loyal Customers
CUST0107,285,5,63300.88,Ananya Mukherjee,South,Bengaluru,54,Female,Email Campaign,1,2,3,6,Potential Loyalists,2,Loyal Customers
CUST0109,98,8,55781.32,Divya Gupta,West,Pune,20,Female,Referral,3,3,3,9,Loyal Customers,2,Loyal Customers
CUST0110,430,2,3272.3199999999997,Priya Bose,South,Chennai,36,Female,Organic Search,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0111,182,8,178611.75,Vivaan Sharma,West,Ahmedabad,40,Male,Paid Ads,2,3,4,9,Loyal Customers,1,Champions
CUST0112,141,6,91567.91,Diya Reddy,East,Bhubaneswar,46,Male,Paid Ads,2,3,3,8,Loyal Customers,2,Loyal Customers
CUST0113,268,3,14036.939999999999,Lakshmi Patel,West,Pune,47,Female,Email Campaign,1,2,1,4,At Risk,0,At Risk
CUST0114,93,8,109039.37000000001,Divya Joshi,South,Chennai,56,Female,Email Campaign,3,3,4,10,Champions,1,Champions
CUST0115,80,1,776.33,Priya Iyer,North,Lucknow,61,Female,Paid Ads,3,1,1,5,At Risk,0,At Risk
CUST0116,96,5,68478.21,Zara Sharma,West,Pune,64,Male,Referral,3,2,3,8,Loyal Customers,2,Loyal Customers
CUST0117,30,3,20200.04,Vikram Desai,West,Pune,42,Female,Organic Search,4,2,2,8,Loyal Customers,2,Loyal Customers
CUST0118,48,18,196157.6,Ananya Das,South,Chennai,54,Male,Social Media,3,4,4,11,Champions,1,Champions
CUST0119,207,1,3413.36,Krishna Nair,South,Kochi,64,Male,Email Campaign,2,1,1,4,At Risk,0,At Risk
