customer_id,customer_name,region,age,gender,acquisition_channel,city
CUST0001,Nisha Desai,South,28,Male,Social Media,Chennai
CUST0002,Ramesh Kapoor,East,32,Female,Email Campaign,Patna
CUST0003,Krishna Gupta,South,36,Male,Organic Search,Bengaluru
CUST0004,Tara Menon,North,24,Male,Organic Search,Chandigarh
CUST0005,Ananya Nair,East,45,Female,Organic Search,Bhubaneswar
CUST0006,Swati Iyer,North,60,Male,Social Media,Lucknow
CUST0007,Karthik Verma,North,22,Female,Social Media,Jaipur
CUST0008,Vikram Pillai,West,22,Female,Paid Ads,Mumbai
CUST0009,Sanjay Rao,South,47,Male,Paid Ads,Hyderabad
CUST0010,Vivaan Sharma,East,49,Male,Organic Search,Patna
CUST0011,Diya Pillai,North,25,Male,Email Campaign,Lucknow
CUST0012,Anil Das,North,27,Male,Paid Ads,Delhi
CUST0013,Manish Kumar,East,55,Male,Paid Ads,Bhubaneswar
CUST0014,Naveen Bose,North,64,Female,Social Media,Chandigarh
CUST0015,Meera Kapoor,West,49,Female,Email Campaign,Surat
CUST0016,Aditya Reddy,West,45,Male,Organic Search,Pune
CUST0017,Reyansh Patel,West,34,Female,Paid Ads,Mumbai
CUST0018,Nisha Mukherjee,West,48,Female,Email Campaign,Surat
CUST0019,Vihaan Malhotra,North,25,Female,Email Campaign,Lucknow
CUST0020,Ishaan Verma,East,57,Female,Organic Search,Bhubaneswar
CUST0021,Zara Kapoor,East,42,Female,Email Campaign,Bhubaneswar
CUST0022,Reyansh Pillai,East,26,Male,Email Campaign,Guwahati
CUST0023,Krishna Kapoor,East,19,Male,Email Campaign,Patna
CUST0024,Divya Malhotra,South,32,Female,Paid Ads,Kochi
CUST0025,Riya Nair,East,20,Male,Organic Search,Guwahati
CUST0026,Swati Nair,South,53,Female,Email Campaign,Chennai
CUST0027,Vivaan Rao,South,21,Female,Email Campaign,Kochi
CUST0028,Vihaan Mukherjee,West,31,Male,Paid Ads,Ahmedabad
CUST0029,Deepak Pillai,South,58,Male,Organic Search,Bengaluru
CUST0030,Sneha Kumar,North,58,Male,Social Media,Chandigarh
CUST0031,Kiran Malhotra,South,42,Female,Paid Ads,Bengaluru
CUST0032,Neha Bose,West,27,Male,Organic Search,Ahmedabad
CUST0033,Meera Singh,South,38,Male,Email Campaign,Hyderabad
CUST0034,Kavya Singh,North,53,Male,Organic Search,Lucknow
